Date,Product,Region,Units,Price,Revenue
2024-01-06,Laptop,West,13,573,7449
2024-02-23,Phone,North,18,395,7110
2024-01-04,Laptop,East,8,1119,8952
2024-02-23,Monitor,North,9,595,5355
2024-04-02,Keyboard,South,7,1151,8057
2024-03-03,Keyboard,South,1,1803,1803
2024-01-18,Tablet,South,3,1886,5658
2024-03-30,Laptop,West,13,1996,25948
2024-02-13,Laptop,North,17,1146,19482
2024-02-03,Tablet,West,1,843,843
2024-03-14,Tablet,West,6,298,1788
2024-03-02,Tablet,South,6,96,576
2024-04-09,Monitor,South,12,1194,14328
2024-01-14,Laptop,West,13,263,3419
2024-04-04,Monitor,North,13,288,3744
2024-02-17,Tablet,East,15,1129,16935
2024-01-15,Laptop,West,16,399,6384
2024-03-12,Monitor,North,11,156,1716
2024-03-18,Monitor,South,5,880,4400
2024-03-27,Tablet,South,4,97,388
2024-03-02,Laptop,North,3,1646,4938
2024-02-09,Tablet,East,19,386,7334
2024-03-25,Laptop,South,18,1099,19782
2024-03-20,Keyboard,South,15,853,12795
2024-03-22,Phone,South,9,1330,11970
2024-02-22,Phone,North,17,57,969
2024-01-24,Phone,West,14,674,9436
2024-01-26,Tablet,South,15,1940,29100
2024-03-29,Keyboard,West,1,1326,1326
2024-02-29,Laptop,East,3,1765,5295
2024-02-10,Monitor,South,16,768,12288
2024-01-29,Laptop,South,11,352,3872
2024-01-15,Monitor,East,12,688,8256
2024-02-14,Laptop,South,10,105,1050
2024-03-05,Keyboard,West,16,775,12400
2024-03-29,Monitor,North,8,575,4600
2024-03-11,Tablet,West,6,523,3138
2024-01-09,Laptop,North,12,77,924
2024-03-28,Laptop,North,8,127,1016
2024-01-01,Monitor,West,4,1289,5156
2024-01-08,Tablet,West,8,1459,11672
2024-03-28,Tablet,West,18,414,7452
2024-03-03,Keyboard,West,5,715,3575
2024-01-11,Tablet,East,9,575,5175
2024-03-21,Tablet,South,4,748,2992
2024-01-08,Tablet,North,17,1385,23545
2024-02-04,Phone,West,9,932,8388
2024-02-04,Keyboard,West,1,1080,1080
2024-02-02,Laptop,West,13,1076,13988
2024-01-05,Monitor,East,16,1696,27136
2024-02-10,Laptop,West,13,968,12584
2024-01-28,Keyboard,West,14,799,11186
2024-01-07,Monitor,West,3,412,1236
2024-03-13,Keyboard,South,6,1824,10944
2024-03-12,Tablet,East,18,1581,28458
2024-01-12,Monitor,West,19,1347,25593
2024-02-03,Tablet,North,5,1579,7895
2024-02-02,Laptop,North,15,855,12825
2024-02-17,Laptop,North,2,788,1576
2024-01-23,Monitor,East,10,1956,19560
2024-03-02,Monitor,East,18,1088,19584
2024-03-28,Keyboard,North,13,1265,16445
2024-02-06,Keyboard,West,5,1704,8520
2024-04-08,Tablet,East,1,534,534
2024-02-13,Monitor,North,1,77,77
2024-03-26,Laptop,North,18,763,13734
2024-03-31,Keyboard,West,15,1112,16680
2024-02-04,Keyboard,South,17,1346,22882
2024-03-05,Laptop,East,11,1304,14344
2024-04-08,Keyboard,West,17,135,2295
2024-02-16,Tablet,North,13,1547,20111
2024-03-18,Monitor,North,1,175,175
2024-01-03,Laptop,West,2,861,1722
2024-01-01,Monitor,East,9,586,5274
2024-01-05,Keyboard,South,3,194,582
2024-03-30,Keyboard,South,1,1598,1598
2024-01-14,Laptop,North,16,1285,20560
2024-01-27,Tablet,East,6,74,444
2024-01-09,Phone,South,17,1653,28101
2024-03-19,Laptop,East,5,1467,7335
2024-01-15,Phone,East,5,116,580
2024-03-30,Phone,North,6,282,1692
2024-02-11,Tablet,South,3,158,474
2024-03-17,Phone,West,5,1219,6095
2024-02-20,Phone,North,5,160,800
2024-03-03,Tablet,South,10,277,2770
2024-04-05,Phone,South,10,160,1600
2024-02-21,Phone,South,19,1543,29317
2024-04-05,Phone,South,17,83,1411
2024-01-04,Laptop,South,14,672,9408
2024-04-03,Laptop,East,9,1849,16641
2024-01-23,Laptop,North,14,1442,20188
2024-01-15,Tablet,East,1,797,797
2024-02-12,Keyboard,West,19,644,12236
2024-01-29,Phone,South,13,1627,21151
2024-02-05,Phone,North,13,474,6162
2024-01-13,Tablet,South,4,662,2648
2024-02-01,Phone,North,1,1591,1591
2024-03-11,Laptop,East,17,741,12597
2024-02-28,Keyboard,North,8,1355,10840
2024-03-26,Monitor,West,2,1393,2786
2024-01-28,Phone,West,8,1811,14488
2024-03-06,Laptop,North,7,1516,10612
2024-02-11,Monitor,North,2,364,728
2024-02-14,Keyboard,North,3,926,2778
2024-03-02,Monitor,North,18,1814,32652
2024-02-26,Laptop,West,12,1450,17400
2024-01-06,Monitor,South,1,1362,1362
2024-01-28,Tablet,North,12,1510,18120
2024-01-28,Monitor,North,5,711,3555
2024-02-13,Phone,West,17,326,5542
2024-03-24,Phone,West,16,1783,28528
2024-01-30,Tablet,East,15,1655,24825
2024-03-02,Laptop,North,15,1576,23640
2024-03-15,Phone,East,5,673,3365
2024-04-01,Keyboard,West,14,565,7910
2024-03-29,Phone,West,2,1423,2846
2024-03-02,Phone,South,11,892,9812
2024-04-06,Laptop,North,19,1519,28861
2024-01-01,Monitor,East,7,1903,13321
2024-01-27,Phone,West,6,399,2394
2024-03-02,Tablet,West,2,1680,3360
2024-03-17,Monitor,East,6,1737,10422
2024-01-03,Keyboard,South,18,872,15696
2024-03-10,Laptop,West,2,1210,2420
2024-03-12,Keyboard,North,18,808,14544
2024-01-27,Monitor,West,15,948,14220
